Name,Website,Address,Phone,Latitude,Longitude,City
大悲院,https://you.ctrip.com/sight/qinhuangdao132/123777.html?scene=online,河北省秦皇岛市山海关区古城东北片区,,,,QingHuangDao
燕塞湖景区-凉亭,https://you.ctrip.com/sight/qinhuangdao132/67629241.html?scene=online,秦皇岛市山海关区城西北7华里燕塞湖景区内,,,,QingHuangDao
燕塞湖鸟语林,https://you.ctrip.com/sight/qinhuangdao132/5039.html?scene=online,秦皇岛山海关城西北3.5公里处,0335-5158828,,,QingHuangDao
五佛山国际生态旅游度假区,https://you.ctrip.com/sight/qinhuangdao132/123747.html?scene=online,河北省秦皇岛市山海关区附近长寿山景区内,,,,QingHuangDao
山海关长城文化奇观园,https://you.ctrip.com/sight/qinhuangdao132/134802.html?scene=online,河北省秦皇岛市山海关区第一关镇老龙头景区,0335-5152996,,,QingHuangDao
山海关总兵府,https://you.ctrip.com/sight/qinhuangdao132/5067017.html?scene=online,秦皇岛市山海关区内古城西大街16号,,,,QingHuangDao
山海关长城文化奇观园-山海行宫,https://you.ctrip.com/sight/qinhuangdao132/5596414.html?scene=online,秦皇岛市山海关区龙海大道1号,,,,QingHuangDao
秦宫,https://you.ctrip.com/sight/qinhuangdao132/145267022.html?scene=online,秦皇岛市山海关区城东约6公里的望夫石村后山岗上孟姜女庙景区内,,,,QingHuangDao
角山景区,https://you.ctrip.com/sight/qinhuangdao132/144104071.html?scene=online,秦皇岛市山海关区角山路山海关城北约3公里,,,,QingHuangDao
靖边楼,https://you.ctrip.com/sight/qinhuangdao132/134085096.html?scene=online,秦皇岛市山海关区南大街5-1号山海关古城内,0335-5051106,,,QingHuangDao
乐岛海滩,https://you.ctrip.com/sight/qinhuangdao132/145609019.html?scene=online,秦皇岛市山海关区龙海大道南50米,,,,QingHuangDao
中国长城艺术馆,https://you.ctrip.com/sight/qinhuangdao132/145312976.html?scene=online,秦皇岛市山海关区龙海大道1号山海行宫内,,,,QingHuangDao
山海关老龙头景区-凉亭,https://you.ctrip.com/sight/qinhuangdao132/4616217.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,0335-5152996,,,QingHuangDao
山海关迎恩楼,https://you.ctrip.com/sight/qinhuangdao132/1675640.html?scene=online,秦皇岛市山海关区南大街5-1号山海关古城内,0335-5259000,,,QingHuangDao
山海关望洋楼,https://you.ctrip.com/sight/qinhuangdao132/5613354.html?scene=online,河北省秦皇岛市山海关区山海关古城景区南门,"0335-5259000,0335-5265061",,,QingHuangDao
角山索道-上站,https://you.ctrip.com/sight/qinhuangdao132/64671232.html?scene=online,秦皇岛市山海关区五佛山国际生态旅游度假区角山景区内,,,,QingHuangDao
山海关城楼,https://you.ctrip.com/sight/qinhuangdao132/5140947.html?scene=online,山海关区境内,"0335-5258000,0335-5259000",,,QingHuangDao
山海关老龙头景区-龙武营,https://you.ctrip.com/sight/qinhuangdao132/134071195.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,0335-5152996,,,QingHuangDao
乐岛水上乐园,https://you.ctrip.com/sight/qinhuangdao132/145504621.html?scene=online,河北省秦皇岛市山海关区石河镇G228(龙海大道),,,,QingHuangDao
海逸名都温泉,https://you.ctrip.com/sight/qinhuangdao132/1715049.html?scene=online,河北省秦皇岛市山海关区南窑河36-1号,,,,QingHuangDao
白鹭岛,https://you.ctrip.com/sight/qinhuangdao132/1675677.html?scene=online,河北省秦皇岛市山海关区天福中路南130米,,,,QingHuangDao
海神庙,https://you.ctrip.com/sight/qinhuangdao132/1832016.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,"0335-5152996,0335-5257058",,,QingHuangDao
山海关长城博物馆,https://you.ctrip.com/sight/qinhuangdao132/1675539.html?scene=online,河北省秦皇岛市山海关区第一关路,0335-5051313,,,QingHuangDao
山海关老龙头免费沙滩浴场,https://you.ctrip.com/sight/qinhuangdao132/112648301.html?scene=online,蓝天别墅附近,,,,QingHuangDao
澄海楼,https://you.ctrip.com/sight/qinhuangdao132/134799.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,0335-5152996,,,QingHuangDao
山海关钟鼓楼,https://you.ctrip.com/sight/qinhuangdao132/112649602.html?scene=online,秦皇岛市山海关区西大街13号山海关风景区内,"0335-5258000,0335-5259000",,,QingHuangDao
长寿山,https://you.ctrip.com/sight/qinhuangdao132/5038.html?scene=online,秦皇岛市山海关区三道关村,"0335-5259000,0335-5176633",,,QingHuangDao
闯关东主题文化体验馆,https://you.ctrip.com/sight/qinhuangdao132/5590353.html?scene=online,河北省秦皇岛市山海关区东大街12号,0335-5265992,,,QingHuangDao
老龙头码头游船,https://you.ctrip.com/sight/qinhuangdao132/5713451.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,0335-5152225,,,QingHuangDao
孟姜女庙,https://you.ctrip.com/sight/qinhuangdao132/5037.html?scene=online,河北省秦皇岛市山海关区望夫石村,0335-5051359,,,QingHuangDao
山海关王家大院,https://you.ctrip.com/sight/qinhuangdao132/123761.html?scene=online,河北省秦皇岛市山海关区古城东三条29号,"0335-5067700,0335-5067755",,,QingHuangDao
求仙6号游船,https://you.ctrip.com/sight/qinhuangdao132/144970046.html?scene=online,秦皇岛市山海关区老龙头路1号,0335-5152225,,,QingHuangDao
山海关古城景区,https://you.ctrip.com/sight/qinhuangdao132/1833320.html?scene=online,河北省秦皇岛市山海关南大街5-1,0335-5051106,,,QingHuangDao
角山长城,https://you.ctrip.com/sight/qinhuangdao132/5036.html?scene=online,河北省秦皇岛市山海关区角山路,"0335-8352639,0335-5152916",,,QingHuangDao
乐岛海洋王国,https://you.ctrip.com/sight/qinhuangdao132/66698.html?scene=online,秦皇岛市山海关区龙海大道148号,0335-5158888,,,QingHuangDao
天下第一关,https://you.ctrip.com/sight/qinhuangdao132/123669.html?scene=online,河北省秦皇岛市山海关区东大街1号,"0335-5258000,0335-5259000,4006033566",,,QingHuangDao
老龙头,https://you.ctrip.com/sight/qinhuangdao132/5035.html?scene=online,秦皇岛市山海关区老龙头路1号,0335-5152996,,,QingHuangDao
山海关,https://you.ctrip.com/sight/qinhuangdao132/5040.html?scene=online,河北省秦皇岛市山海关区东大街1号,"4006033566,0335-5051106",,,QingHuangDao
山海关古城历史博物馆,https://you.ctrip.com/sight/qinhuangdao132/145245212.html?scene=online,河北省秦皇岛市山海关区西大街16号,,,,QingHuangDao
镇远镖局,https://you.ctrip.com/sight/qinhuangdao132/131897130.html?scene=online,秦皇岛市山海关区西大街14号,,,,QingHuangDao
山海关中国长城博物馆,https://you.ctrip.com/sight/qinhuangdao132/148681454.html?scene=online,河北省秦皇岛市山海关区G102北侧,,,,QingHuangDao
孟姜女庙景区-凉亭,https://you.ctrip.com/sight/qinhuangdao132/4626658.html?scene=online,秦皇岛市山海关区城东约6公里的望夫石村后山岗上孟姜女庙景区内,,,,QingHuangDao
瑞莲阁,https://you.ctrip.com/sight/qinhuangdao132/134084723.html?scene=online,河北省秦皇岛市山海关区东大街1号天下第一关景区内,0335-5258000,,,QingHuangDao
入海石城,https://you.ctrip.com/sight/qinhuangdao132/126180846.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,,,,QingHuangDao
国家地质公园长寿山景区,https://you.ctrip.com/sight/qinhuangdao132/144103789.html?scene=online,秦皇岛市山海关区三道关村,,,,QingHuangDao
山海关说书馆堂会,https://you.ctrip.com/sight/qinhuangdao132/145705308.html?scene=online,秦皇岛市山海关古城东大街3-10号	,18630376319,,,QingHuangDao
燕塞湖鸟语林景区,https://you.ctrip.com/sight/qinhuangdao132/144431915.html?scene=online,秦皇岛市山海关区小陈庄北,,,,QingHuangDao
山海关老龙头景区-正堂,https://you.ctrip.com/sight/qinhuangdao132/145346047.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区守备署内,,,,QingHuangDao
猪猪亲子乐园,https://you.ctrip.com/sight/qinhuangdao132/140046049.html?scene=online,河北省秦皇岛市山海关区龙源大道20、22号,0335-3333033,,,QingHuangDao
兵部分司,https://you.ctrip.com/sight/qinhuangdao132/1675697.html?scene=online,秦皇岛市山海关区东大街1号天下第一关景区内,,,,QingHuangDao
王家大院山海关民俗博物馆(东三条),https://you.ctrip.com/sight/qinhuangdao132/1834237.html?scene=online,东三条29-31号,"0335-5067700,0335-5258000",,,QingHuangDao
老龙头嗨King帐篷露营地,https://you.ctrip.com/sight/qinhuangdao132/134785214.html?scene=online,河北省秦皇岛市山海关区老龙头路老龙头景区西门,,,,QingHuangDao
孟姜女哭倒长城处,https://you.ctrip.com/sight/qinhuangdao132/145651500.html?scene=online,秦皇岛市山海关区姜女庙路孟姜女庙景区内,,,,QingHuangDao
山海关镇东楼,https://you.ctrip.com/sight/qinhuangdao132/5131956.html?scene=online,山海关区东北,,,,QingHuangDao
莲花湖公园,https://you.ctrip.com/sight/qinhuangdao132/123744.html?scene=online,秦皇岛市山海关区东水关街23号(近火车站),,,,QingHuangDao
宁海城,https://you.ctrip.com/sight/qinhuangdao132/1832755.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,,,,QingHuangDao
海上摩托艇,https://you.ctrip.com/sight/qinhuangdao132/145276878.html?scene=online,秦皇岛市山海关区龙海大道148号乐岛公园搏海湾内,,,,QingHuangDao
白鹭岛第二海滨浴场,https://you.ctrip.com/sight/qinhuangdao132/145553725.html?scene=online,河北省秦皇岛市山海关区龙海大道唐子寨对面,,,,QingHuangDao
阳光浴场,https://you.ctrip.com/sight/qinhuangdao132/145127830.html?scene=online,秦皇岛市山海关区海口道假日蓝湾南侧约150米,,,,QingHuangDao
山海关古城景区-王氏宗祠,https://you.ctrip.com/sight/qinhuangdao132/4616269.html?scene=online,秦皇岛市山海关区东三条29~31号王家大院内,,,,QingHuangDao
牢房,https://you.ctrip.com/sight/qinhuangdao132/145365818.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,,,,QingHuangDao
儿童戏水池,https://you.ctrip.com/sight/qinhuangdao132/4616280.html?scene=online,秦皇岛市山海关区龙海大道148号乐岛公园戏水乐园内,,,,QingHuangDao
山海关老龙头景区-巢车,https://you.ctrip.com/sight/qinhuangdao132/83232688.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区龙武营内,,,,QingHuangDao
六国饭店旧址,https://you.ctrip.com/sight/qinhuangdao132/145533990.html?scene=online,秦皇岛市山海关区南海道秦皇岛市山海关区铁路小学,,,,QingHuangDao
栖贤寺,https://you.ctrip.com/sight/qinhuangdao132/1675503.html?scene=online,秦皇岛市山海关区五佛山国际生态旅游度假区角山景区内,,,,QingHuangDao
兴儒博物馆,https://you.ctrip.com/sight/qinhuangdao132/5544477.html?scene=online,河北省秦皇岛市山海关区古城南大街32-4号,18833533222,,,QingHuangDao
山海关老龙头景区-财神殿,https://you.ctrip.com/sight/qinhuangdao132/4616237.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区海神庙内,,,,QingHuangDao
西南交通大学山海关北洋铁路官学堂旧址,https://you.ctrip.com/sight/qinhuangdao132/143726075.html?scene=online,秦皇岛市山海关区站西街兴华小区(货场前街)西南侧约130米,,,,QingHuangDao
山海关古城景区-长城剧场,https://you.ctrip.com/sight/qinhuangdao132/145571986.html?scene=online,河北省秦皇岛市山海关区关路24号,,,,QingHuangDao
石河古渡,https://you.ctrip.com/sight/qinhuangdao132/133820995.html?scene=online,河北省秦皇岛市山海关区老龙头码头老龙头景区停车场进入,0335-5158101,,,QingHuangDao
乐岛公园-沙滩卡丁车,https://you.ctrip.com/sight/qinhuangdao132/145847090.html?scene=online,秦皇岛市山海关区龙海大道148号乐岛公园内,,,,QingHuangDao
世外桃源,https://you.ctrip.com/sight/qinhuangdao132/1675419.html?scene=online,秦皇岛市山海关区三道关村附近长寿山景区内,,,,QingHuangDao
燕塞湖景区-游乐场,https://you.ctrip.com/sight/qinhuangdao132/145455213.html?scene=online,河北省秦皇岛市山海关区燕塞湖路燕塞湖景区,,,,QingHuangDao
乐岛海洋王国-凉亭,https://you.ctrip.com/sight/qinhuangdao132/64669874.html?scene=online,秦皇岛市山海关区龙海大道148号乐岛公园内,,,,QingHuangDao
田公馆,https://you.ctrip.com/sight/qinhuangdao132/134078554.html?scene=online,河北省秦皇岛市山海关区西大街26号,,,,QingHuangDao
镇东楼,https://you.ctrip.com/sight/qinhuangdao132/130887000.html?scene=online,秦皇岛市山海关区城南5公里处天下第一关景区内,0335-5258000,,,QingHuangDao
燕塞湖索道-上站,https://you.ctrip.com/sight/qinhuangdao132/64669236.html?scene=online,秦皇岛市山海关区城西北7华里燕塞湖景区内,,,,QingHuangDao
闯关东,https://you.ctrip.com/sight/qinhuangdao132/145273405.html?scene=online,河北省秦皇岛市山海关区古城东大街12号,,,,QingHuangDao
山海关老龙头景区-八国联军军营遗址,https://you.ctrip.com/sight/qinhuangdao132/145641736.html?scene=online,秦皇岛市山海关区老龙头景区,,,,QingHuangDao
山海关大明帅府,https://you.ctrip.com/sight/qinhuangdao132/145592772.html?scene=online,秦皇岛市山海关区东罗城大街山海关古城景区,,,,QingHuangDao
白鹭岛沙滩房车露营基地,https://you.ctrip.com/sight/qinhuangdao132/145573290.html?scene=online,秦皇岛市山海关区龙海大道秦皇岛观潮香居特色民宿西南侧约210米,,,,QingHuangDao
山海关白鹭湾帆船俱乐部,https://you.ctrip.com/sight/qinhuangdao132/140771820.html?scene=online,河北省秦皇岛市山海关区龙海大道128号,18033508888,,,QingHuangDao
山海关保卫战纪念厅,https://you.ctrip.com/sight/qinhuangdao132/134080118.html?scene=online,秦皇岛市山海关区穆家胡同2号,,,,QingHuangDao
山海镇督师府,https://you.ctrip.com/sight/qinhuangdao132/5711738.html?scene=online,河北省秦皇岛市山海关区西大街16号,18931353226,,,QingHuangDao
蟹岛温泉乐园,https://you.ctrip.com/sight/qinhuangdao132/140768366.html?scene=online,河北省秦皇岛市山海关区田庄村山海关机场正门南800米,,,,QingHuangDao
甲申史鉴馆,https://you.ctrip.com/sight/qinhuangdao132/5168470.html?scene=online,秦皇岛市山海关区西大街66号,0335-5136179,,,QingHuangDao
关帝殿,https://you.ctrip.com/sight/qinhuangdao132/4616346.html?scene=online,秦皇岛市山海关区五佛山国际生态旅游度假区角山景区内,,,,QingHuangDao
浪山海野奢营地,https://you.ctrip.com/sight/qinhuangdao132/148463242.html?scene=online,秦皇岛市山海关区乐岛海洋公园南,,,,QingHuangDao
神医华佗石窟,https://you.ctrip.com/sight/qinhuangdao132/1675452.html?scene=online,秦皇岛市山海关区三道关村附近长寿山景区内,,,,QingHuangDao
威远公园,https://you.ctrip.com/sight/qinhuangdao132/4616219.html?scene=online,秦皇岛市山海关区关城西路与双棉山路交叉路口东侧,,,,QingHuangDao
国家地质公园长寿山景区-凉亭,https://you.ctrip.com/sight/qinhuangdao132/4626705.html?scene=online,秦皇岛市山海关区三道关村附近长寿山景区内,,,,QingHuangDao
芦沟桥西城门,https://you.ctrip.com/sight/qinhuangdao132/145395276.html?scene=online,河北省秦皇岛市山海关区G1(京哈高速),,,,QingHuangDao
清真寺,https://you.ctrip.com/sight/qinhuangdao132/64673599.html?scene=online,河北省秦皇岛市山海关区关城西路34号,18833833911,,,QingHuangDao
听竹轩,https://you.ctrip.com/sight/qinhuangdao132/145391847.html?scene=online,河北省秦皇岛市山海关区齐家楼胡同6号,,,,QingHuangDao
守备署,https://you.ctrip.com/sight/qinhuangdao132/143349938.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,0335-5152996,,,QingHuangDao
山海关妈祖庙,https://you.ctrip.com/sight/qinhuangdao132/143737261.html?scene=online,秦皇岛市山海关区龙海大道,,,,QingHuangDao
一线天,https://you.ctrip.com/sight/qinhuangdao132/145197607.html?scene=online,秦皇岛市山海关区三道关村附近长寿山景区内,,,,QingHuangDao
天下第一关景区-箭楼,https://you.ctrip.com/sight/qinhuangdao132/145326324.html?scene=online,河北省秦皇岛市山海关区东大街1号山海关-天下第一关景区内,,,,QingHuangDao
山海关老龙头景区-遗址洞,https://you.ctrip.com/sight/qinhuangdao132/145671069.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,,,,QingHuangDao
孔庙,https://you.ctrip.com/sight/qinhuangdao132/4616222.html?scene=online,秦皇岛市山海关区古城西大街山海关总兵府景区内,,,,QingHuangDao
石河樱桃采摘园,https://you.ctrip.com/sight/qinhuangdao132/145306665.html?scene=online,河北省秦皇岛市山海关区燕塞大道36号,,,,QingHuangDao
皮划艇漂流,https://you.ctrip.com/sight/qinhuangdao132/145543880.html?scene=online,秦皇岛市山海关区龙海大道148号乐岛公园戏水乐园内,,,,QingHuangDao
卧龙山庄,https://you.ctrip.com/sight/qinhuangdao132/145514516.html?scene=online,河北省秦皇岛市山海关区京秦高速入口与京秦高速交叉口西南约180米,,,,QingHuangDao
老龙头码头,https://you.ctrip.com/sight/qinhuangdao132/148623286.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,,,,QingHuangDao
极地馆,https://you.ctrip.com/sight/qinhuangdao132/145579510.html?scene=online,秦皇岛市山海关区龙海大道148号乐岛公园海底总动员内,,,,QingHuangDao
山海关古城电瓶车专线古城西门站(迎恩楼),https://you.ctrip.com/sight/qinhuangdao132/145255640.html?scene=online,秦皇岛市山海关区东大街1号山海关古城景区内,,,,QingHuangDao
悬阳洞,https://you.ctrip.com/sight/qinhuangdao132/5186.html?scene=online,秦皇岛市山海关区三道关村附近长寿山景区内,,,,QingHuangDao
牧营楼,https://you.ctrip.com/sight/qinhuangdao132/134085494.html?scene=online,秦皇岛市山海关区南大街5-1号山海关古城内,0335-5258000,,,QingHuangDao
日军飞机场(沙河子飞机场),https://you.ctrip.com/sight/qinhuangdao132/145425647.html?scene=online,秦皇岛市山海关区城南5公里处天下第一关景区内,,,,QingHuangDao
四野临时指挥部,https://you.ctrip.com/sight/qinhuangdao132/5067339.html?scene=online,秦皇岛市山海关区穆家胡同2号,,,,QingHuangDao
礁石瀑布,https://you.ctrip.com/sight/qinhuangdao132/145207542.html?scene=online,秦皇岛市山海关区龙海大道148号乐岛公园戏水乐园内,,,,QingHuangDao
