Name,Website,Address,Phone,Latitude,Longitude,City
大悲院,https://you.ctrip.com/sight/qinhuangdao132/123777.html?scene=online,河北省秦皇岛市山海关区古城东北片区,,40.01036289252789,119.7679244359144,QingHuangDao
燕塞湖景区-凉亭,https://you.ctrip.com/sight/qinhuangdao132/67629241.html?scene=online,秦皇岛市山海关区城西北7华里燕塞湖景区内,,40.04365283669972,119.7129434675151,QingHuangDao
燕塞湖鸟语林,https://you.ctrip.com/sight/qinhuangdao132/5039.html?scene=online,秦皇岛山海关城西北3.5公里处,0335-5158828,40.04950910514002,119.71105909204682,QingHuangDao
五佛山国际生态旅游度假区,https://you.ctrip.com/sight/qinhuangdao132/123747.html?scene=online,河北省秦皇岛市山海关区附近长寿山景区内,,40.07349606313338,119.74691100393333,QingHuangDao
山海关长城文化奇观园,https://you.ctrip.com/sight/qinhuangdao132/134802.html?scene=online,河北省秦皇岛市山海关区第一关镇老龙头景区,0335-5152996,39.97531919572714,119.8049934619364,QingHuangDao
山海关总兵府,https://you.ctrip.com/sight/qinhuangdao132/5067017.html?scene=online,秦皇岛市山海关区内古城西大街16号,,40.01498873566932,119.76155724645969,QingHuangDao
山海关长城文化奇观园-山海行宫,https://you.ctrip.com/sight/qinhuangdao132/5596414.html?scene=online,秦皇岛市山海关区龙海大道1号,,39.97329044592302,119.8034495442564,QingHuangDao
秦宫,https://you.ctrip.com/sight/qinhuangdao132/145267022.html?scene=online,秦皇岛市山海关区城东约6公里的望夫石村后山岗上孟姜女庙景区内,,40.04253409379664,119.82935802262243,QingHuangDao
角山景区,https://you.ctrip.com/sight/qinhuangdao132/144104071.html?scene=online,秦皇岛市山海关区角山路山海关城北约3公里,,40.05254605676165,119.7410960028756,QingHuangDao
靖边楼,https://you.ctrip.com/sight/qinhuangdao132/134085096.html?scene=online,秦皇岛市山海关区南大街5-1号山海关古城内,0335-5051106,40.016496813658804,119.76723238134952,QingHuangDao
乐岛海滩,https://you.ctrip.com/sight/qinhuangdao132/145609019.html?scene=online,秦皇岛市山海关区龙海大道南50米,,39.963220996485845,119.7628422724917,QingHuangDao
中国长城艺术馆,https://you.ctrip.com/sight/qinhuangdao132/145312976.html?scene=online,秦皇岛市山海关区龙海大道1号山海行宫内,,39.977636567061325,119.80307171695891,QingHuangDao
山海关老龙头景区-凉亭,https://you.ctrip.com/sight/qinhuangdao132/4616217.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,0335-5152996,39.97531919572714,119.8049934619364,QingHuangDao
山海关迎恩楼,https://you.ctrip.com/sight/qinhuangdao132/1675640.html?scene=online,秦皇岛市山海关区南大街5-1号山海关古城内,0335-5259000,40.016496813658804,119.76723238134952,QingHuangDao
山海关望洋楼,https://you.ctrip.com/sight/qinhuangdao132/5613354.html?scene=online,河北省秦皇岛市山海关区山海关古城景区南门,"0335-5259000,0335-5265061",40.00941319028989,119.76676373536496,QingHuangDao
角山索道-上站,https://you.ctrip.com/sight/qinhuangdao132/64671232.html?scene=online,秦皇岛市山海关区五佛山国际生态旅游度假区角山景区内,,40.07361656212257,119.75777708704314,QingHuangDao
山海关城楼,https://you.ctrip.com/sight/qinhuangdao132/5140947.html?scene=online,山海关区境内,"0335-5258000,0335-5259000",40.01563022377999,119.7694105925501,QingHuangDao
山海关老龙头景区-龙武营,https://you.ctrip.com/sight/qinhuangdao132/134071195.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,0335-5152996,39.97531919572714,119.8049934619364,QingHuangDao
乐岛水上乐园,https://you.ctrip.com/sight/qinhuangdao132/145504621.html?scene=online,河北省秦皇岛市山海关区石河镇G228(龙海大道),,39.96356663002139,119.7628422724917,QingHuangDao
海逸名都温泉,https://you.ctrip.com/sight/qinhuangdao132/1715049.html?scene=online,河北省秦皇岛市山海关区南窑河36-1号,,40.02533904339085,119.79566204395984,QingHuangDao
白鹭岛,https://you.ctrip.com/sight/qinhuangdao132/1675677.html?scene=online,河北省秦皇岛市山海关区天福中路南130米,,39.96466710198782,119.77469051074438,QingHuangDao
海神庙,https://you.ctrip.com/sight/qinhuangdao132/1832016.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,"0335-5152996,0335-5257058",39.97531919572714,119.8049934619364,QingHuangDao
山海关长城博物馆,https://you.ctrip.com/sight/qinhuangdao132/1675539.html?scene=online,河北省秦皇岛市山海关区第一关路,0335-5051313,40.013963599218016,119.76950895700345,QingHuangDao
山海关老龙头免费沙滩浴场,https://you.ctrip.com/sight/qinhuangdao132/112648301.html?scene=online,蓝天别墅附近,,39.981877711269384,119.80832581605621,QingHuangDao
澄海楼,https://you.ctrip.com/sight/qinhuangdao132/134799.html?scene=online,秦皇岛市山海关区龙海大道1号老龙头景区内,0335-5152996,39.97531919572714,119.8049934619364,QingHuangDao
山海关钟鼓楼,https://you.ctrip.com/sight/qinhuangdao132/112649602.html?scene=online,秦皇岛市山海关区西大街13号山海关风景区内,"0335-5258000,0335-5259000",40.016545578868325,119.76738536277786,QingHuangDao
长寿山,https://you.ctrip.com/sight/qinhuangdao132/5038.html?scene=online,秦皇岛市山海关区三道关村,"0335-5259000,0335-5176633",40.07349606313338,119.74691100393333,QingHuangDao
